Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","1993","1993","1000 No","31.212","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","1993","1993","1000 No","27.944","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 No","3.591","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 No","57.38","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 No","61.037","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","1994","1994","1000 No","32.163","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","1994","1994","1000 No","28.875","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 No","3.83","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 No","58.847","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 No","62.928","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","1995","1995","1000 No","33.121","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","1995","1995","1000 No","29.806","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 No","4.047","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 No","59.803","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 No","64.147","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","1996","1996","1000 No","33.694","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","1996","1996","1000 No","30.454","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 No","4.232","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 No","60.128","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 No","64.682","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","1997","1997","1000 No","33.867","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","1997","1997","1000 No","30.814","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 No","4.387","X","Figure from international organizations",""
